
------- Starting Log at: 10/10/2024, 14:06:30
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBat,A2Dval,SecsLeft,%CapRemain,Ch/Dis
802,1458,770,3600,100,C,1465
804,1458,770,3600,100,C,1465
806,1458,770,3600,100,C,1465
808,1458,770,3600,100,C,1465
810,1458,770,3600,100,C,1465
812,1458,770,3600,100,C,1465
814,1458,770,3600,100,C,1465
816,1458,770,3600,100,C,1465
818,1458,770,3600,100,C,1465
820,1458,770,3600,100,C,1465
822,1458,770,3600,100,C,1465
824,1458,770,3600,100,C,1465
826,1458,770,3600,100,C,1465
828,1458,770,3600,100,C,1465
830,1458,770,3600,100,C,1465
832,1458,770,3600,100,C,1465
834,1458,770,3600,100,C,1465
836,1458,770,3600,100,C,1465
838,1458,770,3600,100,C,1465
840,1458,770,3600,100,C,1465
842,1458,770,3600,100,C,1465
844,1458,770,3600,100,C,1465
846,1458,770,3600,100,C,1465
848,1458,770,3600,100,C,1465
850,1458,770,3600,100,C,1465
852,1458,770,3600,100,C,1465
854,1458,770,3600,100,C,1465
856,1458,770,3600,100,C,1465
858,1458,770,3600,100,C,1465
860,1458,770,3600,100,C,1465
862,1458,770,3600,100,C,1465
864,1458,770,3600,100,C,1465
866,1458,770,3600,100,C,1465
868,1458,770,3600,100,C,1465
870,1458,770,3600,100,C,1465
872,1458,770,3600,100,C,1465
874,1458,770,3600,100,C,1465
876,1458,770,3600,100,C,1465
878,1458,770,3600,100,C,1465
880,1458,770,3600,100,C,1465
882,1458,770,3600,100,C,1465
884,1458,770,3600,100,C,1465
886,1458,770,3600,100,C,1465
888,1458,770,3600,100,C,1465
890,1458,770,3600,100,C,1465
892,1458,770,3600,100,C,1465
894,1458,770,3600,100,C,1465
896,1458,770,3600,100,C,1465
898,1458,770,3600,100,C,1465
900,1458,770,3600,100,C,1465
902,1458,770,3600,100,C,1465
904,1458,770,3600,100,C,1465
906,1458,770,3600,100,C,1465
908,1458,770,3600,100,C,1465
910,1458,770,3600,100,C,1465
912,1458,770,3600,100,C,1465
914,1458,770,3600,100,C,1465
